family,claim_gate,pass_fraction,n_cases
deep,continuum_gate,0.0,2
deep,donor_aware_gate,0.5,2
deep,global_geometry_gate,0.5,6
deep,label_support_gate,0.3333333333333333,6
deep,local_neighbourhood_gate,0.0,6
factor,continuum_gate,0.0,2
factor,donor_aware_gate,1.0,2
factor,global_geometry_gate,1.0,6
factor,label_support_gate,0.6666666666666666,6
factor,local_neighbourhood_gate,0.0,6
graph,continuum_gate,0.0,2
graph,donor_aware_gate,0.5,2
graph,global_geometry_gate,0.8333333333333334,6
graph,label_support_gate,0.6666666666666666,6
graph,local_neighbourhood_gate,0.0,6
relational,continuum_gate,0.0,2
relational,donor_aware_gate,0.0,2
relational,global_geometry_gate,1.0,6
relational,label_support_gate,0.6666666666666666,6
relational,local_neighbourhood_gate,0.16666666666666666,6


