scenario,family,claim_axis,n_metric_rows,fraction_pass,median_score
batch_shift,deep,batch_biology_tradeoff,2,0.0,0.16321257238392692
batch_shift,deep,cell_state_support,2,0.5,0.6731481481481482
batch_shift,deep,truth_geometry,6,0.16666666666666666,0.3190541474042191
batch_shift,factor,batch_biology_tradeoff,2,0.5,0.4560042599844632
batch_shift,factor,cell_state_support,2,1.0,0.9768055555555557
batch_shift,factor,truth_geometry,6,0.5,0.8081392826048087
batch_shift,graph,batch_biology_tradeoff,2,0.0,0.0016309136156281469
batch_shift,graph,cell_state_support,2,1.0,0.9937037037037038
batch_shift,graph,truth_geometry,6,0.3333333333333333,0.7370760962810463
batch_shift,relational,batch_biology_tradeoff,2,0.0,0.0004907768541964185
batch_shift,relational,cell_state_support,2,1.0,0.9985185185185186
batch_shift,relational,truth_geometry,6,0.3333333333333333,0.7557138778104848
branching_trajectory,deep,cell_state_support,2,0.5,0.5824074074074075
branching_trajectory,deep,continuum_support,2,0.5,0.2958719668114514
branching_trajectory,deep,truth_geometry,6,0.16666666666666666,0.31154232424677186
branching_trajectory,factor,cell_state_support,2,1.0,0.7986574074074073
branching_trajectory,factor,continuum_support,2,0.0,0.4369171052461987
branching_trajectory,factor,truth_geometry,6,0.3333333333333333,0.7382418079288788
branching_trajectory,graph,cell_state_support,2,1.0,0.7817129629629629
branching_trajectory,graph,continuum_support,2,0.5,0.46923180937863085
branching_trajectory,graph,truth_geometry,6,0.3333333333333333,0.7098393066164781
branching_trajectory,relational,cell_state_support,2,1.0,0.7721759259259259
branching_trajectory,relational,continuum_support,2,0.5,0.31316326365443925
branching_trajectory,relational,truth_geometry,6,0.3333333333333333,0.5895164350657556
dropout_stress,deep,cell_state_support,2,0.5,0.6942592592592594
dropout_stress,deep,truth_geometry,6,0.16666666666666666,0.33679951113236617
dropout_stress,factor,cell_state_support,2,1.0,0.9949074074074074
dropout_stress,factor,truth_geometry,6,0.6666666666666666,0.9014353253790778
dropout_stress,graph,cell_state_support,2,1.0,0.9903703703703705
dropout_stress,graph,truth_geometry,6,0.3333333333333333,0.8463742698875895
dropout_stress,relational,cell_state_support,2,1.0,0.9905555555555554
dropout_stress,relational,truth_geometry,6,0.3333333333333333,0.8319709665067332
linear_low_rank,deep,cell_state_support,2,0.5,0.71
linear_low_rank,deep,truth_geometry,6,0.3333333333333333,0.3508841463414634
linear_low_rank,factor,cell_state_support,2,1.0,0.9991203703703704
linear_low_rank,factor,truth_geometry,6,0.6666666666666666,0.9102310537652756
linear_low_rank,graph,cell_state_support,2,1.0,0.9973611111111111
linear_low_rank,graph,truth_geometry,6,0.3333333333333333,0.8419162963500546
linear_low_rank,relational,cell_state_support,2,1.0,0.9991203703703704
linear_low_rank,relational,truth_geometry,6,0.3333333333333333,0.8293254120817704
nonlinear_manifold,deep,cell_state_support,2,0.5,0.658287037037037
nonlinear_manifold,deep,continuum_support,2,0.5,0.3297692179421487
nonlinear_manifold,deep,truth_geometry,6,0.3333333333333333,0.3505653860460173
nonlinear_manifold,factor,cell_state_support,2,1.0,0.8742592592592594
nonlinear_manifold,factor,continuum_support,2,1.0,0.6375786855232974
nonlinear_manifold,factor,truth_geometry,6,0.5,0.7541576173180699
nonlinear_manifold,graph,cell_state_support,2,1.0,0.8992592592592593
nonlinear_manifold,graph,continuum_support,2,1.0,0.6183637777188216
nonlinear_manifold,graph,truth_geometry,6,0.3333333333333333,0.7283064350794313
nonlinear_manifold,relational,cell_state_support,2,1.0,0.8885185185185185
nonlinear_manifold,relational,continuum_support,2,1.0,0.6138536976082298
nonlinear_manifold,relational,truth_geometry,6,0.3333333333333333,0.6995712254828776
rare_population,deep,cell_state_support,2,0.5,0.6525462962962965
rare_population,deep,rare_state_support,2,0.5,0.3257142857142856
rare_population,deep,truth_geometry,6,0.16666666666666666,0.3345201657898932
rare_population,factor,cell_state_support,2,1.0,0.9934259259259259
rare_population,factor,rare_state_support,2,1.0,0.9857142857142858
rare_population,factor,truth_geometry,6,0.6666666666666666,0.9213694935968968
rare_population,graph,cell_state_support,2,1.0,0.98875
rare_population,graph,rare_state_support,2,1.0,0.9914285714285714
rare_population,graph,truth_geometry,6,0.3333333333333333,0.8242582100554506
rare_population,relational,cell_state_support,2,1.0,0.9886111111111111
rare_population,relational,rare_state_support,2,1.0,0.9971428571428572
rare_population,relational,truth_geometry,6,0.3333333333333333,0.8127803188001949


