lineage,root_definition,method,navigation_group,within_lineage_pseudotime_distance_correlation,n_lineage_cells,sampled_within_lineage_pairs,cluster_membership
erythroid,7MEP_centroid,PCA,factor,0.8386818073,1262,3000,7MEP;1Ery;2Ery;3Ery;4Ery;5Ery;6Ery
erythroid,7MEP_centroid,GLM-PCA,factor,0.7241892326,1262,3000,7MEP;1Ery;2Ery;3Ery;4Ery;5Ery;6Ery
erythroid,7MEP_centroid,scScope,deep,0.6311383962,1262,3000,7MEP;1Ery;2Ery;3Ery;4Ery;5Ery;6Ery
erythroid,7MEP_centroid,SAUCIE,deep,0.7437106904,1262,3000,7MEP;1Ery;2Ery;3Ery;4Ery;5Ery;6Ery
erythroid,7MEP_centroid,UMAP,graph,0.817574281,1262,3000,7MEP;1Ery;2Ery;3Ery;4Ery;5Ery;6Ery
erythroid,7MEP_centroid,PHATE,graph,0.9322721484,1262,3000,7MEP;1Ery;2Ery;3Ery;4Ery;5Ery;6Ery
erythroid,7MEP_centroid,t-SNE,relational,0.7917293341,1262,3000,7MEP;1Ery;2Ery;3Ery;4Ery;5Ery;6Ery
erythroid,7MEP_centroid,PaCMAP,relational,0.8703889664,1262,3000,7MEP;1Ery;2Ery;3Ery;4Ery;5Ery;6Ery
megakaryocytic,7MEP_centroid,PCA,factor,0.6619143334,235,1175,7MEP;8Mk
megakaryocytic,7MEP_centroid,GLM-PCA,factor,0.02202882033,235,1175,7MEP;8Mk
megakaryocytic,7MEP_centroid,scScope,deep,0.1537873358,235,1175,7MEP;8Mk
megakaryocytic,7MEP_centroid,SAUCIE,deep,0.7035409768,235,1175,7MEP;8Mk
megakaryocytic,7MEP_centroid,UMAP,graph,0.7631816265,235,1175,7MEP;8Mk
megakaryocytic,7MEP_centroid,PHATE,graph,0.4513976904,235,1175,7MEP;8Mk
megakaryocytic,7MEP_centroid,t-SNE,relational,0.6427420349,235,1175,7MEP;8Mk
megakaryocytic,7MEP_centroid,PaCMAP,relational,0.6956213452,235,1175,7MEP;8Mk
basophil,7MEP_centroid,PCA,factor,0.8527555627,536,2680,7MEP;12Baso;13Baso
basophil,7MEP_centroid,GLM-PCA,factor,0.7220338382,536,2680,7MEP;12Baso;13Baso
basophil,7MEP_centroid,scScope,deep,0.7257204955,536,2680,7MEP;12Baso;13Baso
basophil,7MEP_centroid,SAUCIE,deep,0.7805874522,536,2680,7MEP;12Baso;13Baso
basophil,7MEP_centroid,UMAP,graph,0.8704167252,536,2680,7MEP;12Baso;13Baso
basophil,7MEP_centroid,PHATE,graph,0.8770263931,536,2680,7MEP;12Baso;13Baso
basophil,7MEP_centroid,t-SNE,relational,0.8238747545,536,2680,7MEP;12Baso;13Baso
basophil,7MEP_centroid,PaCMAP,relational,0.857134419,536,2680,7MEP;12Baso;13Baso
myeloid,9GMP_centroid,PCA,factor,0.3846854265,1000,3000,9GMP;10GMP;11DC;14Mo;15Mo;16Neu;17Neu;18Eos
myeloid,9GMP_centroid,GLM-PCA,factor,0.4475045016,1000,3000,9GMP;10GMP;11DC;14Mo;15Mo;16Neu;17Neu;18Eos
myeloid,9GMP_centroid,scScope,deep,0.3886622469,1000,3000,9GMP;10GMP;11DC;14Mo;15Mo;16Neu;17Neu;18Eos
myeloid,9GMP_centroid,SAUCIE,deep,0.4368797608,1000,3000,9GMP;10GMP;11DC;14Mo;15Mo;16Neu;17Neu;18Eos
myeloid,9GMP_centroid,UMAP,graph,0.5650136968,1000,3000,9GMP;10GMP;11DC;14Mo;15Mo;16Neu;17Neu;18Eos
myeloid,9GMP_centroid,PHATE,graph,0.6354836613,1000,3000,9GMP;10GMP;11DC;14Mo;15Mo;16Neu;17Neu;18Eos
myeloid,9GMP_centroid,t-SNE,relational,0.4635287567,1000,3000,9GMP;10GMP;11DC;14Mo;15Mo;16Neu;17Neu;18Eos
myeloid,9GMP_centroid,PaCMAP,relational,0.6108681563,1000,3000,9GMP;10GMP;11DC;14Mo;15Mo;16Neu;17Neu;18Eos
